"Cocunut","Mortgage_YN","AGE_AT_ORIGINATION","AGE","YEARS_WITH_BANK","MARTIAL_STATUS","EDUCATION","EMPLOYMENT","GENDER","CUST_INCOME","CURRENT_ADDRESS_DATE","CURRENT_JOB_DATE","CURRENT_WITH_BANK_DATE","CURRENT_BALANCE_EUR","YEARS_WITH_CURRENT_JOB"
1,"Y",50,52,13,"M","HGH","PVE","M",909.5013077,1979-04-18,2010-01-01,2004-03-16,7648.350692,13.5468856947296
9,"Y",48,49,11,"M","HGH","SFE","M",288.4615385,1999-12-16,2004-01-20,2005-11-07,30189.90492,19.4962354551677
11,"Y",53,55,14,"M","BCR","STE","M",1280.528692,2005-06-28,1990-09-01,2003-06-25,50553.17454,32.8815879534565
12,"Y",64,66,10,"M","BCR","OTH","F",620.9597692,2000-12-22,9999-10-01,2006-12-21,15907.28338,15.8110882956879
18,"Y",46,47,9,"S","MAS","PVE","F",2239.853846,2009-08-01,2013-12-24,2007-08-07,27916.19262,9.56878850102669
19,"Y",34,35,10,"M","BCR","STE","F",1016.004308,9999-10-01,2006-08-01,2006-08-02,26571.472,16.9664613278576
21,"Y",51,53,10,"M","HGH","STE","F",458.6092308,1992-12-31,1984-12-13,2006-10-27,21949.504,38.5982203969884
24,"Y",56,58,10,"M","HGH","PVE","F",615.3846154,1998-03-31,2005-09-20,2007-06-27,50387.55885,17.8288843258042
29,"Y",46,47,14,"M","BCR","PVE","M",744.0076154,2007-09-01,2010-04-08,2002-11-16,8731.948923,13.2813141683778
33,"Y",45,46,12,"M","HGH","PVE","M",473.818,2007-11-27,1991-10-01,2004-11-24,16084.14246,31.8001368925394
34,"Y",38,40,9,"S","HGH","PVE","F",538.6294615,2007-10-17,2006-06-12,2008-01-29,13118.73962,17.1033538672142
35,"Y",48,50,11,"M","HGH","STE","M",402.4476923,1997-09-01,1992-07-01,2006-04-28,28063.85915,31.0499657768652
37,"Y",56,57,14,"D","HGH","PVE","F",626.3546923,2005-05-30,2002-11-18,2002-11-27,6084.600692,20.6680355920602
43,"Y",36,39,12,"M","BCR","PVE","M",932.7886923,2009-09-01,2004-08-01,2004-08-19,55190.07408,18.9650924024641
45,"Y",39,41,11,"M","BCR","PVE","F",872.7253846,2009-06-20,2005-08-01,2005-08-01,29008.47846,17.9657768651608
47,"Y",42,43,12,"M","BCR","PVE","M",7504.292308,1999-02-01,2008-06-27,2005-02-25,35649.95146,15.0609171800137
52,"Y",50,51,13,"M","BCR","PVE","M",808.4407692,9999-10-01,2009-09-01,2004-04-21,133846.7488,13.8809034907598
55,"Y",42,43,11,"S","BCR","STE","F",630.0923077,2011-12-01,2005-07-01,2006-03-29,29114.93785,18.0506502395619
61,"Y",50,52,13,"M","HGH","PVE","M",1613.830769,2013-09-14,2003-10-27,2004-01-13,70111.68331,19.7289527720739
63,"Y",36,37,12,"D","BCR","PVE","M",1269.230769,1985-01-01,2013-11-25,2004-11-02,74363.16923,9.64818617385352
65,"Y",33,34,9,"M","BCR","PVE","F",614.856,2012-10-01,2011-01-01,2007-09-10,34679.577,12.5475701574264
70,"Y",36,37,12,"M","BCR","PVE","F",789.7998462,2004-06-01,2004-11-01,2004-11-18,12917.19269,18.7132101300479
78,"Y",36,36,15,"M","BCR","PVE","M",753.1601538,2013-08-01,2005-11-01,2002-01-11,30996.63531,17.7138945927447
81,"Y",39,40,12,"S","BCR","PVE","M",1953.8,1982-10-01,2008-08-15,2005-02-23,44597.80338,14.9267624914442
86,"Y",45,47,12,"M","HGH","PVE","M",300.4061538,1970-11-17,2012-01-20,2004-08-27,12803.372,11.4962354551677
89,"Y",41,42,3,"M","HGH","PVE","M",253.8461538,2007-05-01,2006-06-01,2014-05-21,73125.13531,17.1334702258727
91,"Y",31,33,10,"S","BCR","PVE","F",825.5689231,2014-09-22,2007-06-11,2007-06-12,18229.49185,16.1067761806982
95,"Y",46,47,12,"M","BCR","STE","F",1337.515385,2014-09-29,2010-01-01,2005-02-07,52200.47992,13.5468856947296
100,"Y",36,39,13,"S","HGH","SFE","M",461.5384615,2001-10-01,2004-07-04,2003-11-11,34586.96862,19.0417522245038
101,"Y",33,35,4,"M","BCR","STE","M",557.4923077,2014-01-01,2015-01-01,2013-06-26,30273.03015,8.54757015742642
107,"Y",35,37,14,"M","HGH","SFE","M",917.9615385,2009-07-25,2012-08-01,2003-03-25,16625.39208,10.9650924024641
112,"Y",53,55,3,"W","BCR","PVE","F",1206.007692,1992-02-10,2009-11-02,2013-11-26,54246.125,13.7111567419576
113,"Y",29,31,9,"M","HGH","PVE","M",332.1391538,2014-08-02,2012-04-18,2008-04-22,20775.743,11.2525667351129
114,"Y",59,61,15,"M","BCR","PVE","M",1116.528154,2012-09-15,2012-07-01,2002-02-04,19312.91954,11.0499657768652
117,"Y",46,48,6,"D","BCR","STE","M",660.8538462,1969-03-30,1991-01-01,2011-01-21,9480.442308,32.5475701574264
118,"Y",58,61,12,"M","HGH","STE","F",309.8846154,1992-05-01,1978-08-07,2004-10-29,10386.03354,44.9500342231348
125,"Y",56,58,15,"M","HGH","PVE","M",7180.962385,2012-11-01,2011-11-01,2002-04-02,20530.18638,11.7152635181383
128,"Y",36,38,4,"S","BCR","STE","F",314.9866923,2014-11-11,2013-03-30,2012-08-16,25833.65585,10.3052703627652
131,"Y",28,30,3,"S","MAS","PVE","M",366.5384615,2009-09-01,2013-09-28,2013-10-23,19714.48446,9.80698151950719
132,"Y",28,31,11,"M","HGH","PVE","M",596.9846154,1986-11-13,2007-01-22,2006-02-07,37383.845,16.4900752908966
133,"Y",39,42,9,"M","BCR","PVE","M",1872.1,2008-11-01,2012-11-01,2007-11-07,73893.34408,10.7132101300479
137,"Y",39,42,12,"M","HGH","PVE","F",546.9762308,1998-04-25,2007-07-14,2005-06-24,22658.96577,16.0164271047228
140,"Y",35,37,12,"D","BCR","PVE","M",1388.492308,2012-02-01,2011-07-01,2005-03-29,29896.83654,12.0520191649555
141,"Y",36,38,2,"M","HGH","PVE","M",207.6923077,2005-09-10,2007-03-01,2014-09-08,10171.71269,16.3860369609856
146,"Y",30,32,3,"M","HGH","STE","F",241.0461538,2011-01-01,2013-09-02,2013-11-11,14170.29023,9.87816563997262
157,"Y",58,60,13,"M","BCR","STE","M",625.4153846,1957-03-05,1980-06-05,2004-03-18,11342.84123,43.1211498973306
158,"Y",29,31,2,"S","MAS","PVE","F",357.4139231,2010-11-20,2010-12-01,2015-01-22,22037.05454,12.6324435318275
160,"Y",45,47,11,"M","SEC","PVE","M",683.5412308,2010-05-01,2006-04-18,2006-05-23,21211.79338,17.2539356605065
